"Option 1","Опція 1"
"Option 2","Опція 2"
"Option 3","Опція 3"
"This is a child block","Цей блок є вкладеним блоком"
"Simple type parameters","Прості типи даних"
"Boolean parameter: %1","Булевий параметр: %1"
"String parameter: %1","Рядок: %1"
"Int parameter: %1","Ціле число: %1"
"Float parameter: %1","Число з плаваючою точкою: %1"
"Null parameter: %1","Параметр NULL: %1"
"URL parameter: ","URL: "
"Service URL parameter (API, not controller!):","URL для API (не для контроллерів!):"
"Helper call result: %1","Результат виклику хелпера: %1"
"Array parameter","Передача масива через лейаут"
"Key %1 has value %2","Ключ ""%1"" має значення ""%2"""
"Options parameter","Передача опцій"
"Select to output demo data","Випадаючий список для виводу демонстраційних даних"
"ViewModel parameter","Передача ViewModel"
"ViewModel is instance of: \%1","ViewModel є інстансом класу: \%1"
"{DV.Campus} Text block demo","Блок з текстом від {DV.Campus}"
"Demo string","Рядок, просто рядок"
"Array Element 1","Масив, елемент №1"
"Array Element 2","Масив, елемент №1"
